OBJECTID,STATION_KEY,DECIMAL_LAT,DECIMAL_LONG,HUC12,HUC10,HUC8,HUC6,HUType
3944,34134,42.780000000000001,-123.279799999999990,171003020702,1710030207,17100302,171003,S
3945,34133,42.799999999999997,-123.237200000000000,171003020701,1710030207,17100302,171003,S
3946,34132,42.748699999999999,-123.372600000000010,171003020703,1710030207,17100302,171003,S
3947,34131,42.769100000000002,-123.333299999999990,171003020703,1710030207,17100302,171003,S
3948,34130,42.895800000000001,-123.239200000000000,171003020507,1710030205,17100302,171003,S
3949,34129,42.939999999999998,-123.265400000000000,171003020508,1710030205,17100302,171003,S
3950,34128,42.982199999999999,-123.149600000000010,171003020505,1710030205,17100302,171003,S
3951,34127,42.980699999999999,-123.149500000000000,171003020505,1710030205,17100302,171003,S
3952,34126,43.036499999999997,-123.088800000000010,171003021001,1710030210,17100302,171003,S
3953,34125,43.030400000000000,-123.105999999999990,171003021001,1710030210,17100302,171003,S
3954,34124,43.035699999999999,-123.148300000000010,171003021001,1710030210,17100302,171003,S
3955,34123,43.129600000000003,-123.121700000000000,171003021003,1710030210,17100302,171003,S
3956,34122,43.079500000000003,-123.194200000000000,171003021004,1710030210,17100302,171003,S
3957,34121,44.934899999999999,-124.023400000000000,171002040709,1710020407,17100204,171002,F
3958,34120,42.229100000000003,-121.779799999999990,180102041201,1801020412,18010204,180102,S
3959,34119,44.295000000000002,-120.826899999999990,170703051001,1707030510,17070305,170703,S
3960,34118,45.533099999999997,-122.266099999999990,170800010804,1708000108,17080001,170800,S
3961,34117,42.317700000000002,-122.852099999999990,171003080110,1710030801,17100308,171003,S
3962,34116,44.978900000000003,-123.986800000000000,171002040901,1710020409,17100204,171002,F
3963,34115,45.008699999999997,-123.915100000000000,171002040803,1710020408,17100204,171002,S
3964,34114,44.920800000000000,-123.999300000000010,171002040707,1710020407,17100204,171002,M
3965,34113,44.973500000000001,-123.999600000000000,171002040901,1710020409,17100204,171002,F
3966,34112,44.989899999999999,-123.982200000000010,171002040901,1710020409,17100204,171002,F
3967,34111,44.990099999999998,-123.995400000000000,171002040901,1710020409,17100204,171002,F
3968,34109,44.640900000000002,-123.071100000000000,170900030610,1709000306,17090003,170900,S
3969,34108,45.357430000000001,-123.839110000000010,171002030301,1710020303,17100203,171002,S
3970,34107,45.354920000000000,-123.835860000000000,171002030301,1710020303,17100203,171002,S
3971,34106,42.280490000000000,-122.823170000000000,171003080109,1710030801,17100308,171003,S
3972,34105,42.194400000000002,-122.716700000000000,171003080106,1710030801,17100308,171003,S
3973,34104,45.145000000000003,-122.683899999999990,170900090304,1709000903,17090009,170900,S
3974,34103,45.492500000000000,-122.276000000000000,170800010701,1708000107,17080001,170800,S
3975,34102,45.537599999999998,-122.379200000000000,170800010703,1708000107,17080001,170800,S
3976,34101,45.588500000000003,-121.548500000000000,170701050701,1707010507,17070105,170701,S
3977,34100,45.375129999999999,-121.883050000000000,170800010101,1708000101,17080001,170800,S
3978,34099,45.371630000000003,-121.888800000000000,170800010101,1708000101,17080001,170800,S
3979,34098,45.378549999999997,-122.021340000000000,170800010401,1708000104,17080001,170800,S
3980,34097,45.406089999999999,-122.256180000000000,170800010402,1708000104,17080001,170800,S
3981,34096,45.446300000000001,-122.246830000000000,170800010702,1708000107,17080001,170800,S
3982,34095,45.444679999999998,-122.248130000000000,170800010506,1708000105,17080001,170800,S
3983,34094,44.002099999999999,-124.123099999999990,171002060804,1710020608,17100206,171002,S
3984,34093,45.399729999999998,-122.131190000000000,170800010402,1708000104,17080001,170800,S
3985,34092,45.330249999999999,-121.915217000000000,170800010201,1708000102,17080001,170800,S
3986,34091,45.331845000000001,-121.915221000000000,170800010201,1708000102,17080001,170800,S
3987,34090,45.314839999999997,-121.812470000000000,170800010202,1708000102,17080001,170800,S
3988,34089,45.313800000000001,-121.796499999999990,170800010202,1708000102,17080001,170800,S
3989,34088,45.311857000000003,-121.895000000000000,170800010202,1708000102,17080001,170800,S
3990,34087,45.311290000000000,-121.896019999999990,170800010202,1708000102,17080001,170800,S
3991,34086,45.389099999999999,-121.937670000000000,170800010102,1708000101,17080001,170800,S
3992,34085,43.951200000000000,-124.060000000000000,171002060804,1710020608,17100206,171002,S
3993,34084,43.835220000000000,-123.239480000000000,171002060302,1710020603,17100206,171002,S
3994,34083,45.354930000000003,-121.939500000000000,170800010102,1708000101,17080001,170800,S
3995,34082,44.003390000000003,-123.995890000000000,171002060804,1710020608,17100206,171002,S
3996,34081,44.003999999999998,-124.070800000000010,171002060702,1710020607,17100206,171002,S
3997,34080,45.587919999999997,-123.963730000000000,171002031000,1710020310,17100203,171002,W
3998,34079,45.610199999999999,-121.959000000000000,170800010801,1708000108,17080001,170800,S
3999,34077,45.547100000000000,-122.458600000000000,170900120201,1709001202,17090012,170900,M
4000,34076,42.016300000000001,-123.728700000000000,171003110402,1710031104,17100311,171003,S
4001,34075,45.391730000000003,-121.859889999999990,170800010101,1708000101,17080001,170800,S
4002,34073,45.376260000000002,-122.082980000000010,170800010401,1708000104,17080001,170800,S
4003,34072,45.375521999999997,-122.024289999999990,170800010304,1708000103,17080001,170800,S
4004,34071,45.308500000000002,-121.945200000000000,170800010304,1708000103,17080001,170800,S
4005,34070,45.347099999999998,-121.942860000000000,170800010202,1708000102,17080001,170800,S
4006,34069,45.356400000000001,-121.939240000000000,170800010102,1708000101,17080001,170800,S
4007,34068,45.356969999999997,-121.937270000000000,170800010102,1708000101,17080001,170800,S
4008,34067,45.379649999999998,-122.018289999999990,170800010401,1708000104,17080001,170800,S
4009,34065,45.665570000000002,-118.806520000000010,170701030507,1707010305,17070103,170701,S
4010,34064,43.036600000000000,-123.701100000000000,171003050101,1710030501,17100305,171003,S
4011,34063,43.035400000000003,-123.700999999999990,171003050101,1710030501,17100305,171003,S
4012,34062,43.031199999999998,-123.700599999999990,171003050101,1710030501,17100305,171003,S
4013,34061,43.075899999999997,-124.217800000000000,171003050501,1710030505,17100305,171003,S
4014,34060,43.071199999999997,-124.205900000000000,171003050501,1710030505,17100305,171003,S
4015,34059,43.073700000000002,-124.201100000000000,171003050501,1710030505,17100305,171003,S
4016,34058,43.078400000000002,-124.196500000000000,171003050501,1710030505,17100305,171003,S
4017,34057,43.019199999999998,-123.699700000000010,171003050101,1710030501,17100305,171003,S
4018,34056,43.082500000000003,-124.195400000000010,171003050501,1710030505,17100305,171003,S
4019,34055,43.016199999999998,-123.701100000000000,171003050101,1710030501,17100305,171003,S
4020,34054,43.098300000000002,-124.188999999999990,171003050501,1710030505,17100305,171003,S
4021,34053,43.015500000000003,-123.700000000000000,171003050101,1710030501,17100305,171003,S
